               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.011257,           0.0092805,           0.0013858,             0.92094,             0.94325,             0.96643,             0.79165,           0.0099663,           0.0081205,           0.0030251,            0.070263,           0.0033041,           0.0033041
                   1,            0.014429,           0.0098155,           0.0013533,             0.93658,             0.92615,             0.95908,             0.78995,           0.0095835,           0.0086922,            0.003308,            0.040181,           0.0065553,           0.0065553
                   2,            0.016756,            0.010106,           0.0015925,             0.92585,             0.93661,             0.96134,             0.74058,            0.011412,           0.0091816,           0.0051093,            0.010016,            0.009724,            0.009724
                   3,            0.018773,            0.010309,           0.0020951,             0.94019,             0.93077,             0.95621,             0.71256,            0.012962,           0.0085086,           0.0034187,           0.0096288,           0.0096288,           0.0096288
                   4,            0.019338,            0.010863,           0.0025098,             0.90663,             0.92641,             0.95747,             0.72244,            0.012056,           0.0094246,           0.0054218,           0.0096288,           0.0096288,           0.0096288
                   5,            0.017701,            0.010872,           0.0021843,             0.89266,             0.94185,             0.95861,             0.71221,            0.012917,           0.0084884,            0.004351,            0.009505,            0.009505,            0.009505
                   6,            0.018409,            0.010611,           0.0023762,             0.91963,              0.9431,             0.95738,             0.74081,            0.012523,           0.0083931,            0.003725,           0.0093813,           0.0093813,           0.0093813
                   7,            0.017971,            0.010925,           0.0025559,             0.88958,             0.91798,             0.94059,             0.71366,            0.012702,            0.010541,           0.0041203,           0.0092575,           0.0092575,           0.0092575
                   8,            0.018125,             0.01069,           0.0024726,             0.92629,             0.92601,             0.95953,             0.74451,            0.012508,           0.0090558,           0.0036167,           0.0091337,           0.0091337,           0.0091337
                   9,             0.01716,            0.010481,           0.0025081,             0.90208,             0.88444,             0.93961,             0.75422,            0.011346,           0.0084361,           0.0058786,             0.00901,             0.00901,             0.00901
                  10,            0.016926,            0.010683,           0.0028512,             0.91225,             0.89692,             0.95532,             0.76101,             0.01059,           0.0079112,            0.006526,           0.0088863,           0.0088863,           0.0088863
                  11,            0.016813,            0.010392,           0.0028727,             0.84155,             0.88145,             0.92788,             0.74801,            0.010707,           0.0083213,           0.0099373,           0.0087625,           0.0087625,           0.0087625
                  12,            0.016404,            0.010792,           0.0024292,             0.92054,             0.89077,             0.94367,              0.7318,            0.011215,           0.0092699,           0.0045996,           0.0086388,           0.0086388,           0.0086388
                  13,            0.016222,             0.01056,            0.003041,             0.89951,             0.82942,             0.91168,             0.71612,            0.011746,            0.009444,            0.013218,            0.008515,            0.008515,            0.008515
                  14,             0.01649,            0.010552,           0.0035811,             0.90181,             0.91671,             0.94147,             0.77139,            0.010399,            0.008019,           0.0045853,           0.0083913,           0.0083913,           0.0083913
                  15,            0.016641,            0.010891,           0.0034766,             0.86839,             0.91138,             0.93177,             0.70342,            0.012602,           0.0098061,            0.005116,           0.0082675,           0.0082675,           0.0082675
                  16,            0.015813,            0.010591,           0.0026982,             0.87819,             0.89189,             0.91038,             0.72824,            0.010883,           0.0096109,           0.0053474,           0.0081437,           0.0081437,           0.0081437
                  17,            0.016613,            0.010758,           0.0028264,             0.87071,             0.90493,             0.92743,             0.71971,            0.010692,           0.0085989,            0.007669,             0.00802,             0.00802,             0.00802
                  18,            0.015908,            0.010647,           0.0026529,             0.90075,             0.85908,             0.92496,             0.75308,              0.0102,           0.0089557,             0.00814,           0.0078963,           0.0078963,           0.0078963
                  19,            0.015438,            0.010502,           0.0024363,             0.89965,             0.87607,             0.92992,             0.75254,            0.010533,           0.0079383,           0.0072606,           0.0077725,           0.0077725,           0.0077725
                  20,            0.016044,            0.010737,           0.0027372,             0.80178,              0.8973,             0.93976,             0.76518,            0.010144,           0.0081794,           0.0085277,           0.0076488,           0.0076488,           0.0076488
                  21,            0.015934,            0.010609,           0.0029359,             0.86881,             0.87109,             0.91131,             0.68622,            0.011424,            0.012067,           0.0051349,            0.007525,            0.007525,            0.007525
                  22,            0.015863,            0.010508,           0.0024188,               0.904,             0.88509,             0.94487,             0.74768,            0.010867,           0.0091184,           0.0074524,           0.0074013,           0.0074013,           0.0074013
                  23,            0.015657,            0.010407,             0.00257,             0.90136,             0.87776,             0.94102,             0.76966,            0.010012,           0.0077065,            0.006512,           0.0072775,           0.0072775,           0.0072775
                  24,            0.016135,             0.01054,           0.0024214,             0.86783,             0.93013,             0.94479,             0.75406,            0.010077,           0.0083378,           0.0062365,           0.0071538,           0.0071538,           0.0071538
                  25,            0.014694,            0.010535,           0.0024418,             0.92457,             0.92001,             0.95555,             0.78592,           0.0098187,           0.0080598,            0.004058,             0.00703,             0.00703,             0.00703
                  26,            0.014837,            0.010535,           0.0022048,             0.91348,              0.9295,             0.95261,             0.79281,           0.0098442,           0.0079755,           0.0062793,           0.0069063,           0.0069063,           0.0069063
                  27,            0.014746,            0.010257,           0.0023657,             0.88978,             0.90331,             0.93423,             0.77993,           0.0098526,           0.0082651,            0.010377,           0.0067825,           0.0067825,           0.0067825
                  28,            0.015241,            0.010212,           0.0024578,             0.88438,             0.93191,             0.94568,             0.77949,           0.0093714,           0.0081639,           0.0071527,           0.0066587,           0.0066587,           0.0066587
                  29,            0.015262,             0.01034,           0.0023314,             0.89709,             0.90724,             0.93252,              0.7665,           0.0098486,            0.010582,           0.0042609,            0.006535,            0.006535,            0.006535
                  30,            0.014872,             0.01002,           0.0020651,             0.86713,              0.8716,             0.95063,             0.77834,           0.0098924,           0.0091973,            0.011288,           0.0064112,           0.0064112,           0.0064112
                  31,            0.015254,            0.010642,           0.0029288,             0.84775,              0.8942,             0.93518,             0.75671,            0.010159,           0.0085949,            0.012009,           0.0062875,           0.0062875,           0.0062875
                  32,            0.014292,             0.01023,           0.0023298,             0.83697,             0.82636,             0.87741,             0.65316,            0.011915,            0.014562,            0.012021,           0.0061637,           0.0061637,           0.0061637
                  33,            0.014096,            0.010294,           0.0021446,             0.83393,             0.93298,             0.94764,             0.77765,           0.0098234,           0.0096223,           0.0058071,             0.00604,             0.00604,             0.00604
                  34,            0.014055,           0.0099892,           0.0019019,             0.94289,             0.92311,             0.96316,             0.79959,           0.0095124,           0.0092423,           0.0032337,           0.0059163,           0.0059163,           0.0059163
                  35,            0.013905,           0.0099163,           0.0018175,             0.89275,             0.92717,             0.95334,             0.79498,           0.0095125,           0.0095829,           0.0039544,           0.0057925,           0.0057925,           0.0057925
                  36,            0.014123,           0.0098507,           0.0023604,             0.86386,             0.92218,             0.93638,             0.77892,            0.009419,           0.0095158,           0.0045113,           0.0056688,           0.0056688,           0.0056688
                  37,            0.013984,           0.0099444,           0.0020785,             0.83225,             0.91806,             0.93812,             0.78432,           0.0091054,           0.0082465,             0.01065,            0.005545,            0.005545,            0.005545
                  38,            0.013922,           0.0098369,           0.0020805,             0.91668,              0.9374,             0.95604,             0.78125,           0.0097154,           0.0091977,            0.005111,           0.0054212,           0.0054212,           0.0054212
                  39,            0.013011,           0.0096611,           0.0019144,             0.90449,             0.92168,             0.95734,             0.77478,           0.0097588,           0.0097628,           0.0041403,           0.0052975,           0.0052975,           0.0052975
                  40,            0.012808,           0.0096847,           0.0022923,             0.90661,               0.901,             0.93716,             0.77658,           0.0093982,           0.0096892,           0.0064021,           0.0051737,           0.0051737,           0.0051737
                  41,             0.01311,            0.009585,           0.0017837,             0.90765,              0.9326,             0.95063,             0.78404,           0.0095648,           0.0094199,           0.0030002,             0.00505,             0.00505,             0.00505
                  42,            0.012895,           0.0098133,            0.002149,             0.89474,             0.93945,             0.95212,             0.77357,           0.0094915,            0.010043,           0.0030399,           0.0049263,           0.0049263,           0.0049263
                  43,            0.013269,           0.0093777,           0.0016964,             0.87585,             0.89459,             0.93148,              0.7711,           0.0096109,            0.010097,           0.0069153,           0.0048025,           0.0048025,           0.0048025
                  44,            0.012888,           0.0096529,           0.0021599,              0.8792,             0.83581,             0.91722,             0.73343,            0.010949,            0.012253,           0.0037333,           0.0046788,           0.0046788,           0.0046788
                  45,            0.012654,           0.0096449,            0.001937,              0.8838,             0.88918,             0.93693,             0.75765,            0.010203,            0.011044,           0.0046889,            0.004555,            0.004555,            0.004555
                  46,            0.012553,           0.0095726,           0.0016805,             0.91168,              0.9036,             0.95106,             0.76462,           0.0099601,           0.0094823,           0.0055294,           0.0044313,           0.0044313,           0.0044313
                  47,            0.012572,           0.0095432,           0.0017206,             0.93964,              0.9368,             0.96049,              0.7945,           0.0094257,           0.0095961,           0.0027529,           0.0043075,           0.0043075,           0.0043075
                  48,            0.012176,           0.0094596,           0.0014479,             0.93197,             0.94131,             0.96234,             0.80052,           0.0093368,           0.0087359,           0.0035707,           0.0041837,           0.0041837,           0.0041837
                  49,            0.012216,           0.0095652,           0.0017352,             0.90609,             0.90894,             0.93836,             0.77566,           0.0093459,           0.0095422,           0.0063734,             0.00406,             0.00406,             0.00406
                  50,            0.012022,           0.0096546,           0.0016091,             0.91993,             0.91669,             0.95168,             0.79701,           0.0089725,           0.0087448,           0.0061633,           0.0039362,           0.0039362,           0.0039362
                  51,            0.012091,           0.0093517,           0.0020925,             0.89992,             0.92861,             0.95597,             0.80009,           0.0089256,           0.0083645,           0.0050136,           0.0038125,           0.0038125,           0.0038125
                  52,            0.011665,           0.0093027,           0.0016985,             0.90039,             0.93192,             0.95532,              0.7984,           0.0088739,           0.0088323,           0.0057617,           0.0036888,           0.0036888,           0.0036888
                  53,            0.012091,           0.0095197,           0.0014791,             0.85941,             0.94054,             0.94912,             0.79616,           0.0088973,           0.0086961,           0.0083922,            0.003565,            0.003565,            0.003565
                  54,            0.011976,           0.0094745,           0.0014934,             0.90362,             0.68286,              0.7793,             0.60116,            0.013407,            0.023727,            0.021437,           0.0034413,           0.0034413,           0.0034413
                  55,            0.011548,           0.0089108,           0.0017124,             0.91528,             0.92286,             0.95693,             0.80202,           0.0088449,           0.0083133,           0.0054657,           0.0033175,           0.0033175,           0.0033175
                  56,            0.011767,           0.0093213,           0.0015108,             0.91531,             0.93222,             0.96552,             0.79826,           0.0092734,           0.0099722,           0.0035112,           0.0031938,           0.0031938,           0.0031938
                  57,            0.011909,            0.009245,           0.0014824,               0.921,             0.91153,             0.96078,             0.80185,           0.0090437,           0.0089248,           0.0052877,             0.00307,             0.00307,             0.00307
                  58,            0.011455,           0.0090068,           0.0014459,             0.92833,             0.91684,             0.95879,             0.79388,           0.0091374,           0.0094643,           0.0054707,           0.0029462,           0.0029462,           0.0029462
                  59,            0.011246,           0.0090804,           0.0014804,             0.91725,              0.9358,             0.96184,             0.80612,           0.0089721,           0.0098791,           0.0038198,           0.0028225,           0.0028225,           0.0028225
                  60,            0.011432,           0.0093152,           0.0013672,             0.92992,             0.94637,             0.96332,             0.81191,           0.0087287,           0.0083472,           0.0039415,           0.0026987,           0.0026987,           0.0026987
                  61,            0.010977,           0.0093074,           0.0012458,             0.94239,             0.88171,             0.92338,             0.75574,           0.0094269,            0.011598,           0.0048063,            0.002575,            0.002575,            0.002575
                  62,            0.011139,           0.0093889,           0.0013819,             0.94257,             0.94575,             0.96267,              0.8094,           0.0088258,           0.0086423,           0.0031864,           0.0024513,           0.0024513,           0.0024513
                  63,            0.010769,            0.009127,           0.0011591,             0.91856,             0.90696,             0.95467,               0.789,           0.0090196,           0.0094985,           0.0055527,           0.0023275,           0.0023275,           0.0023275
                  64,            0.010978,           0.0088668,           0.0014144,             0.92391,             0.95043,             0.96371,             0.81105,           0.0087823,           0.0080274,           0.0043429,           0.0022038,           0.0022038,           0.0022038
                  65,            0.011119,           0.0091086,            0.001336,             0.93462,             0.93193,             0.95896,             0.79729,            0.009166,           0.0088301,           0.0032627,             0.00208,             0.00208,             0.00208
                  66,            0.010388,           0.0091186,           0.0014232,              0.9403,             0.92779,             0.96358,             0.81072,             0.00877,           0.0082353,           0.0035211,           0.0019563,           0.0019563,           0.0019563
                  67,            0.010692,            0.008835,           0.0013403,             0.94854,             0.92857,             0.96514,              0.8142,           0.0089187,           0.0081581,           0.0036482,           0.0018325,           0.0018325,           0.0018325
                  68,            0.010419,           0.0090903,           0.0010613,             0.94102,              0.9361,             0.96781,             0.81134,           0.0089009,           0.0081695,           0.0037776,           0.0017087,           0.0017087,           0.0017087
